"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"666",6,30000,0.8,0.01,1,0.666666666666667,-0.000995194868576669,-0.0138301533544221,-0.540891360248376,"BR"
"667",7,30000,0.8,0.01,1,0.625,-0.000590662854137711,-0.00769583146712136,-0.331308675529579,"BR"
"668",8,30000,0.8,0.01,1,0.673267326732673,-0.00108110844047926,-0.0144598615518081,-0.543182928240498,"BR"
"669",9,30000,0.8,0.01,1,0.666666666666667,-0.001066767084317,-0.0132702570282198,-0.486450987305458,"BR"
"670",10,30000,0.8,0.01,1,0.731707317073171,-0.000964722112340719,-0.0141296978642066,-0.568258063433446,"BR"
"671",1,3e+05,0.8,0.01,1,0.520090123920391,1.52791549761576e-06,7.68073217603076e-05,0.0155641733412599,"BR"
"672",2,3e+05,0.8,0.01,1,0.519115442278861,1.29938448768473e-06,6.38948091258619e-05,0.0126469788022779,"BR"
"673",3,3e+05,0.8,0.01,1,0.50018443378827,4.0832615383307e-06,0.000204546373949994,0.0418390956026227,"BR"
"674",4,3e+05,0.8,0.01,1,0.502274450341168,3.50717780967656e-06,0.000171294043981599,0.0340317328720328,"BR"
"675",5,3e+05,0.8,0.01,1,0.509138381201044,3.9686028090874e-07,1.9571114165751e-05,0.00386805087379155,"BR"
"676",6,3e+05,0.8,0.01,1,0.508601346297681,3.06675414703319e-06,0.00015208752442065,0.030629807522663,"BR"
"677",7,3e+05,0.8,0.01,1,0.506849315068493,1.05646616367274e-06,5.27071404834364e-05,0.0105737813527374,"BR"
"678",8,3e+05,0.8,0.01,1,0.512384473197782,1.36207894656171e-06,6.94236579524901e-05,0.0142544873800672,"BR"
"679",9,3e+05,0.8,0.01,1,0.509877003354454,-1.50048319923153e-07,-7.46317515538421e-06,-0.00148372616873051,"BR"
"680",10,3e+05,0.8,0.01,1,0.494095238095238,4.24798167670027e-06,0.000213382150288927,0.0438080321871411,"BR"
"681",1,30000,0.3,0.001,1,0.428571428571429,0.000951988941432455,0.0133499465731488,1.13352099449033,"BR"
"682",2,30000,0.3,0.001,1,0.666666666666667,-0.0011649655083803,-0.012469280390751,-0.415540090622108,"BR"
"683",3,30000,0.3,0.001,1,0.333333333333333,-0.000482079196619523,-0.00426366524237298,-0.140073644789094,"BR"
"684",4,30000,0.3,0.001,1,0.428571428571429,0.00039732776122689,0.0040506180220705,0.179714595761757,"BR"
"685",5,30000,0.3,0.001,1,0.5,-0.000920160857915435,-0.00865396171828032,-0.278395498971706,"BR"
"686",6,30000,0.3,0.001,1,0.285714285714286,0.00384047377122325,0.0367068924356048,3.33018502464927,"BR"
"687",7,30000,0.3,0.001,1,0.428571428571429,-0.000109137021290877,-0.00136510169362963,-0.0660255520665159,"BR"
"688",8,30000,0.3,0.001,1,0.470588235294118,0.000719188299788914,0.00839995865265928,0.482463191057042,"BR"
"689",9,30000,0.3,0.001,1,0.3,0.00170506617281052,0.0154331771462402,0.754954595790762,"BR"
"690",10,30000,0.3,0.001,1,0.5,0.00206324186729266,0.021423571035705,1.47176204394353,"BR"
"691",1,3e+05,0.3,0.001,1,0.26,0.000107697314562188,0.00433861588261937,1.02664544607089,"BR"
"692",2,3e+05,0.3,0.001,1,0.280130293159609,7.79625935835662e-05,0.00346589358346176,0.861280887276434,"BR"
"693",3,3e+05,0.3,0.001,1,0.296428571428571,7.62614736677998e-05,0.00318966595964345,0.710586386152042,"BR"
"694",4,3e+05,0.3,0.001,1,0.222222222222222,0.000137443883372414,0.00536735724016035,1.3420354868204,"BR"
"695",5,3e+05,0.3,0.001,1,0.24113475177305,0.000148616018190998,0.00555503870262906,1.32288523900641,"BR"
"696",6,3e+05,0.3,0.001,1,0.245614035087719,0.000150814328947998,0.00604028382996217,1.6838453412758,"BR"
"697",7,3e+05,0.3,0.001,1,0.25886524822695,0.000108650689384361,0.00440065009856321,1.05577034527183,"BR"
