"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"5514",3e+05,0.8,0.01,0,0.483219605563322,1.02840427746595e-05,0.00129443330307224,0.933909860168171,0.0116963799861914,9.81331873019593e-07,0.000115515702798257,0.112503705766527,"cl2"
"6014",30000,0.3,0.001,0,0.480759520385543,0.000110604302176185,0.00436536290416721,1.08237818088044,0.059444285462604,4.30450726430236e-05,0.00162316843109634,0.513866659725634,"cl2"
"6514",3e+05,0.3,0.001,0,0.478628798904513,8.41782482685051e-06,0.00105588332328534,0.718774440036901,0.0246103186265362,2.23057103991423e-06,0.000250276760391279,0.205099326157759,"cl2"
"7014",30000,0.8,0.001,0,0.493958138276589,9.55616904721244e-05,0.00378442149234168,0.863271513107477,0.0399076958512331,3.16828522816152e-05,0.00112793438393493,0.316979409013081,"cl2"
"7514",3e+05,0.8,0.001,0,0.474747656214131,7.78268893234956e-06,0.000943392217113253,0.610031718734756,0.0187186438839492,4.27080047841123e-06,0.000387510120840083,0.315661386680812,"cl2"
"8014",30000,0.3,0.01,1,0.632091059991444,-2.49923933334494e-05,-0.00078198642875945,0.0117728086363652,0.145705516782637,0.000104612908417465,0.00331986667334315,0.56772996256638,"cl2"
"8514",3e+05,0.3,0.01,1,0.489243235260573,9.62852344899722e-06,0.00128662380117417,1.0186917431227,0.0185693993172387,2.38904026971409e-06,0.000242414249842102,0.25688207825222,"cl2"
"9014",30000,0.8,0.01,1,0.522544799713883,7.73732702106928e-05,0.0030675176805167,0.652931141163403,0.0374493389595662,2.44600758634223e-05,0.000963452139372721,0.266317487369191,"cl2"
"9514",3e+05,0.8,0.01,1,0.482063374481647,8.31918023255014e-06,0.00115256722062897,0.907662664640497,0.0108933636491094,7.72485534856286e-07,9.81397435417328e-05,0.100812988955729,"cl2"
"10014",30000,0.3,0.001,1,0.495773405082204,8.65619292623468e-05,0.00365206332236774,0.901383564267886,0.0526677984598491,2.98547955774054e-05,0.00115061234477049,0.363664759325197,"cl2"
"10514",3e+05,0.3,0.001,1,0.474357379371196,6.9979485458397e-06,0.000974667636927084,0.740113835782092,0.0243486381254226,1.72252802098423e-06,0.000212681879141578,0.1962981069157,"cl2"
"11014",30000,0.8,0.001,1,0.488913433839399,7.60369905622895e-05,0.00331672296833775,0.809979406190324,0.0300412652425998,1.72152761179863e-05,0.000724057150938058,0.233646686564696,"cl2"
"11514",3e+05,0.8,0.001,1,0.477582028206925,6.78685150936575e-06,0.000875389448183219,0.653435476016576,0.0231388448872958,7.51279421401806e-06,0.000621048958806006,0.702343785703213,"cl2"
"15",30000,0.3,0.01,-1,0.595850161534372,0.000255858689731539,0.00413354764757982,0.984896097265825,0.112077167937934,0.000790550672841453,0.0108298734275974,1.93344586581449,"cl3"
"515",3e+05,0.3,0.01,-1,0.504449398835995,2.81740653472938e-05,0.00251290218660137,1.51231043844084,0.0174786469061046,4.59283026012226e-06,0.000355557443582461,0.29790900313027,"cl3"
"1015",30000,0.8,0.01,-1,0.540946065392054,0.000262114517738454,0.00633772535098259,0.932964039259485,0.0413915648195839,0.000121937477852283,0.00271991714041478,0.546930305876885,"cl3"
"1515",3e+05,0.8,0.01,-1,0.499115431401494,2.17891393168717e-05,0.00209397519782153,1.26924369779877,0.011296905479509,2.44052589312235e-06,0.000206454352967826,0.168937785518249,"cl3"
"2015",30000,0.3,0.001,-1,0.500886639706153,0.000271468039652259,0.00755495139741703,1.49541806824853,0.0444689838952514,0.000134179248019734,0.00305055652866741,0.720539580364441,"cl3"
"2515",3e+05,0.3,0.001,-1,0.500448667938942,1.23544417469643e-05,0.00132090176053751,0.790245802692349,0.0204925477560077,4.14485307638856e-06,0.000386594184179872,0.271655030569718,"cl3"
"3015",30000,0.8,0.001,-1,0.494868071096705,0.000214826651654729,0.00651928292637426,1.29856176033079,0.042156693708019,6.80525084327572e-05,0.00183422731649979,0.510316881627889,"cl3"
"3515",3e+05,0.8,0.001,-1,0.499851826757952,8.48923373487475e-06,0.000949532810655432,0.545546482933738,0.0193248216303942,2.99030549795767e-06,0.000296311227423889,0.191762571643673,"cl3"
"4015",30000,0.3,0.01,0,0.62383707632237,5.3509891752457e-05,0.00148839980019166,0.434749596594848,0.158066247259871,0.000149548062578097,0.00468118535683345,1.00596071776286,"cl3"
"4515",3e+05,0.3,0.01,0,0.503735226320565,1.53639592833604e-05,0.00180215324388817,1.37258188203805,0.019013803930277,1.9868587720506e-06,0.000205136466606673,0.218238779625478,"cl3"
"5015",30000,0.8,0.01,0,0.522408937292173,0.000159745393233029,0.00543189816703558,1.15232725842104,0.0390526770774065,4.41252228482641e-05,0.00134219370445005,0.374483165036559,"cl3"
"5515",3e+05,0.8,0.01,0,0.499730746687179,1.38834947595311e-05,0.00166833906701662,1.26017595642392,0.0113471032836161,1.30834020822889e-06,0.000139777495753006,0.144801538131318,"cl3"
"6015",30000,0.3,0.001,0,0.497947698367427,0.000161637291574246,0.0059582546734864,1.56790157905861,0.0636183810748563,6.06602087798051e-05,0.00202688311690423,0.713902417864508,"cl3"
"6515",3e+05,0.3,0.001,0,0.497440521020359,1.07096464008136e-05,0.00129979181432338,0.91304931899663,0.0242964635998882,3.02466454315876e-06,0.000316908783250581,0.273025188427601,"cl3"
"7015",30000,0.8,0.001,0,0.51113331568002,0.000129414184046704,0.00489794538706781,1.16282674929776,0.0366687366444183,3.91625476162021e-05,0.00127285146289759,0.38910795875759,"cl3"
"7515",3e+05,0.8,0.001,0,0.499491691326649,1.01970379255102e-05,0.0011918090441538,0.78868780174081,0.0185078765566187,5.63146794067989e-06,0.000459823916657935,0.356465261138033,"cl3"
"8015",30000,0.3,0.01,1,0.612576236802936,5.37009374080083e-05,0.00181724542687789,0.478784569640804,0.156072257575655,0.000133837221768308,0.00401841042127331,0.909751474652079,"cl3"
"8515",3e+05,0.3,0.01,1,0.502182362652264,1.32310201721194e-05,0.00168582714466133,1.39968738575546,0.0182629765035131,1.16653322501992e-06,0.000128012206936681,0.149704544079291,"cl3"
"9015",30000,0.8,0.01,1,0.527621604142125,0.000141826900548441,0.00517932144286796,1.18460293354676,0.0395874278246146,3.18316903974858e-05,0.00110064979131381,0.363843412104699,"cl3"
"9515",3e+05,0.8,0.01,1,0.500481916380221,1.10520632704725e-05,0.00146678693353355,1.20531089736139,0.0107135987373806,1.03559176121296e-06,0.000119691334053893,0.130141016437924,"cl3"
