"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"413",30000,0.3,0.001,-1,0.997417758992235,-0.0203736914423974,-0.842717687349447,0.00190553886035567,0.00115482736512438,0.0158380781379988,"cl1"
"513",3e+05,0.3,0.001,-1,0.864306919620075,-0.00134247788891372,-0.775876121393904,0.00950122529089562,6.06635577606608e-05,0.017653781983832,"cl1"
"613",30000,0.8,0.001,-1,0.806377318617126,-0.0121473508358782,-0.768614016568133,0.011293374460195,0.000943783337307259,0.0208523546050317,"cl1"
"713",3e+05,0.8,0.001,-1,0.699379617374703,-0.000763939896874328,-0.724829268221282,0.00824900071590236,5.16220829073634e-05,0.0301424100568446,"cl1"
"813",30000,0.3,0.01,0,1,-0.0207639640768481,-0.851001054761059,0,0.00118898970896184,0.0134173191183481,"cl1"
"913",3e+05,0.3,0.01,0,0.976875301990475,-0.00180895784830906,-0.842044225037936,0.00686574170749356,0.000128678780610452,0.014241533176067,"cl1"
"1013",30000,0.8,0.01,0,0.91892530726822,-0.0149408300398117,-0.824557816301422,0.00630895671521233,0.000873237498871955,0.0135286843649773,"cl1"
"1113",3e+05,0.8,0.01,0,0.588524670870017,-0.000171950865153538,-0.381935701853194,0.00856926399194408,1.46263314956214e-05,0.0228801827742073,"cl1"
"1213",30000,0.3,0.001,0,0.996757451999072,-0.0205445702601512,-0.850282782712606,0.00340922207596628,0.00123699645944354,0.0213702105187335,"cl1"
"1313",3e+05,0.3,0.001,0,0.871446275630698,-0.00143924075038781,-0.817047073613149,0.0125224133404824,7.80545328165621e-05,0.0187022689042064,"cl1"
"1413",30000,0.8,0.001,0,0.815721401402646,-0.0119753813171549,-0.779168331769517,0.0131876207799157,0.000629910374188814,0.0191565109614613,"cl1"
"1513",3e+05,0.8,0.001,0,0.705194315174071,-0.000825845731494911,-0.739099625501525,0.0139352712894436,7.24265275030866e-05,0.0221344677219536,"cl1"
"1613",30000,0.3,0.01,1,1,-0.0207161686919584,-0.850469853049421,0,0.00168009187565393,0.0226011750155627,"cl1"
"1713",3e+05,0.3,0.01,1,0.96676477473522,-0.00178469365644371,-0.837788765880585,0.00791183480434087,0.000103438406889114,0.0168027358525182,"cl1"
"1813",30000,0.8,0.01,1,0.895675506859517,-0.0144349178729115,-0.817927938865907,0.00562518510498704,0.000948723199954454,0.0130583969349931,"cl1"
"1913",3e+05,0.8,0.01,1,0.595431539173197,-0.000221714688857957,-0.48433909559173,0.00633283730175396,1.65883128264477e-05,0.0229195580843023,"cl1"
"2013",30000,0.3,0.001,1,0.99630463254228,-0.0205614901177226,-0.858240687480346,0.00196543640994559,0.00071452412250295,0.0128077751312916,"cl1"
"2113",3e+05,0.3,0.001,1,0.868932789351885,-0.00143902676463605,-0.81289463943877,0.0113815669076506,7.33936947804807e-05,0.0208085517063516,"cl1"
"2213",30000,0.8,0.001,1,0.821475539022789,-0.0122283575985023,-0.796018832812852,0.0155282890797033,0.000821520759481836,0.0157415787508894,"cl1"
"2313",3e+05,0.8,0.001,1,0.714253531235821,-0.000859049572112554,-0.77299591937998,0.0122864662290047,4.69128212833897e-05,0.0215990427623172,"cl1"
"15",30000,0.3,0.01,-1,1,-0.016698288986625,-0.698945307849891,0,0.00136102697841505,0.00657910623161564,"cl2"
"115",3e+05,0.3,0.01,-1,0.997909217292675,-0.00155845314882053,-0.702285744539754,0.00161853638344524,7.34434316374408e-05,0.00574428742642586,"cl2"
"215",30000,0.8,0.01,-1,0.970807310085954,-0.0135692733100356,-0.699657270167835,0.00544436428872206,0.000728132934522008,0.00752785152798441,"cl2"
