"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1279",79,30000,0.3,0.001,0,0.749463902787705,-0.000148592662254669,-0.0037539623434882,-0.316477408203403,"EB_df"
"1280",80,30000,0.3,0.001,0,0.780514306410721,-0.000100118368571444,-0.00286335426297757,-0.279852598453382,"EB_df"
"1281",81,30000,0.3,0.001,0,0.664199454616284,-8.72743940799757e-05,-0.00241117024884675,-0.234214575134978,"EB_df"
"1282",82,30000,0.3,0.001,0,0.815615615615616,-8.6513912958588e-05,-0.00247066354639432,-0.246252987476062,"EB_df"
"1283",83,30000,0.3,0.001,0,0.733965968586387,-0.000129383951865709,-0.00361908103743536,-0.333901865953766,"EB_df"
"1284",84,30000,0.3,0.001,0,0.807620817843866,-8.89160809765087e-05,-0.00244985118284466,-0.236932103635458,"EB_df"
"1285",85,30000,0.3,0.001,0,0.702301410541945,-0.00010780605538974,-0.00327390798476428,-0.3290179633075,"EB_df"
"1286",86,30000,0.3,0.001,0,0.709923664122137,-0.000110968715829945,-0.00306591767891858,-0.287975373474953,"EB_df"
"1287",87,30000,0.3,0.001,0,0.712903225806452,-7.50241783233599e-05,-0.00232980239622839,-0.251665697013916,"EB_df"
"1288",88,30000,0.3,0.001,0,0.784047370254267,-0.000161704249306789,-0.00420467318202209,-0.355370032173085,"EB_df"
"1289",89,30000,0.3,0.001,0,0.783639143730887,-0.000175371225867765,-0.00452001745512961,-0.37382235194983,"EB_df"
"1290",90,30000,0.3,0.001,0,0.847736625514403,-0.000137736144913859,-0.00355658904442152,-0.308150963082866,"EB_df"
"1291",91,30000,0.3,0.001,0,0.705165222970805,-9.56751944809378e-05,-0.00251318085729845,-0.232370402636081,"EB_df"
"1292",92,30000,0.3,0.001,0,0.797262889879058,-0.000149750210482659,-0.00396738063423555,-0.344262708884934,"EB_df"
"1293",93,30000,0.3,0.001,0,0.670003336670003,-9.74841441770438e-05,-0.00259530329668236,-0.241807748065798,"EB_df"
