"","n_samples","h2","prop_effect","S","results","res_error","method"
"914",3e+05,0.3,0.01,0,0.607587802265205,0.00855382671503833,"cl2"
"1014",30000,0.8,0.01,0,0.836935054611769,0.00969970089649291,"cl2"
"1114",3e+05,0.8,0.01,0,0.55614459107496,0.00744306628903161,"cl2"
"1214",30000,0.3,0.001,0,0.847524640538071,0.0128738885497509,"cl2"
"1314",3e+05,0.3,0.001,0,0.699800008937435,0.0125618296644421,"cl2"
"1414",30000,0.8,0.001,0,0.764020708396826,0.0121510802476394,"cl2"
"1514",3e+05,0.8,0.001,0,0.672000975453366,0.0170639579348097,"cl2"
"1614",30000,0.3,0.01,1,0.968427620951197,0.0056173553479851,"cl2"
"1714",3e+05,0.3,0.01,1,0.613522547467638,0.00804785862219933,"cl2"
"1814",30000,0.8,0.01,1,0.807717083155581,0.0132286793020849,"cl2"
"1914",3e+05,0.8,0.01,1,0.55940417083428,0.00715181373711992,"cl2"
"2014",30000,0.3,0.001,1,0.84667273943334,0.0102224675710686,"cl2"
"2114",3e+05,0.3,0.001,1,0.72337318515638,0.0134725298217558,"cl2"
"2214",30000,0.8,0.001,1,0.775661276691016,0.0154152165786064,"cl2"
"2314",3e+05,0.8,0.001,1,0.684304348396259,0.0121443804320447,"cl2"
"16",30000,0.3,0.01,-1,0.981041705159938,0.00341607952793836,"cl3"
"116",3e+05,0.3,0.01,-1,0.604104313757467,0.0119159627611426,"cl3"
"216",30000,0.8,0.01,-1,0.82430243679808,0.0109070545782044,"cl3"
"315",3e+05,0.8,0.01,-1,0.552684844446917,0.00679470565995594,"cl3"
"415",30000,0.3,0.001,-1,0.836285191186455,0.0104358662933297,"cl3"
"515",3e+05,0.3,0.001,-1,0.711777022722661,0.0130254055932511,"cl3"
"615",30000,0.8,0.001,-1,0.759694130416788,0.0119791428393245,"cl3"
"715",3e+05,0.8,0.001,-1,0.687554229893718,0.0148086473272217,"cl3"
"815",30000,0.3,0.01,0,0.965605843092894,0.00623851311618126,"cl3"
"915",3e+05,0.3,0.01,0,0.607698682219525,0.00677624247270247,"cl3"
"1015",30000,0.8,0.01,0,0.808398642964761,0.00706952925163507,"cl3"
"1115",3e+05,0.8,0.01,0,0.56142275951459,0.00507963475070335,"cl3"
"1215",30000,0.3,0.001,0,0.843009939055661,0.011471551391182,"cl3"
"1315",3e+05,0.3,0.001,0,0.710217774676447,0.00793868563444979,"cl3"
"1415",30000,0.8,0.001,0,0.769704524084227,0.0132727735719177,"cl3"
"1515",3e+05,0.8,0.001,0,0.678961028420162,0.0113621738135947,"cl3"
"1615",30000,0.3,0.01,1,0.95482111678032,0.00756324742113045,"cl3"
"1715",3e+05,0.3,0.01,1,0.60901059173143,0.00974112039398209,"cl3"
"1815",30000,0.8,0.01,1,0.779659385769101,0.0109521831367742,"cl3"
"1915",3e+05,0.8,0.01,1,0.564823741298221,0.00869574677809054,"cl3"
"2015",30000,0.3,0.001,1,0.848105354488602,0.0136179578773188,"cl3"
"2115",3e+05,0.3,0.001,1,0.724974413504301,0.0133077024642038,"cl3"
"2215",30000,0.8,0.001,1,0.778518926784821,0.0105334314616835,"cl3"
"2315",3e+05,0.8,0.001,1,0.701286210827498,0.00788406198338982,"cl3"
