"","n_samples","h2","prop_effect","S","results","res_error","method"
"1514",3e+05,0.8,0.001,0,2.08542017949351,0.532390337318011,"cl2"
"1614",30000,0.3,0.01,1,-0.854140208423124,0.0772227169335933,"cl2"
"1714",3e+05,0.3,0.01,1,1.11858577517853,0.153477152688933,"cl2"
"1814",30000,0.8,0.01,1,-0.0312228275646023,0.259634318749683,"cl2"
"1914",3e+05,0.8,0.01,1,1.0042579773661,0.0747746301040265,"cl2"
"2014",30000,0.3,0.001,1,1.06460257155143,0.469438183012011,"cl2"
"2114",3e+05,0.3,0.001,1,0.639512664119372,0.155064657885943,"cl2"
"2214",30000,0.8,0.001,1,1.09109371520046,0.29328389914473,"cl2"
"2314",3e+05,0.8,0.001,1,4.37537113387646,1.09290188591745,"cl2"
"16",30000,0.3,0.01,-1,-0.424576014207678,0.454440600375855,"cl3"
"116",3e+05,0.3,0.01,-1,1.52834310765847,0.27507475025008,"cl3"
"216",30000,0.8,0.01,-1,-0.154005341883564,0.293140297175527,"cl3"
"315",3e+05,0.8,0.01,-1,1.46418278605884,0.143080772976118,"cl3"
"415",30000,0.3,0.001,-1,1.28627299776036,0.514475953213507,"cl3"
"515",3e+05,0.3,0.001,-1,0.753671368680249,0.30247938205306,"cl3"
"615",30000,0.8,0.001,-1,1.62676051044153,0.473445658568132,"cl3"
"715",3e+05,0.8,0.001,-1,0.650015064337461,0.209609522404585,"cl3"
"815",30000,0.3,0.01,0,-0.569997298381376,0.450150122064401,"cl3"
"915",3e+05,0.3,0.01,0,1.52835793514087,0.225642095265879,"cl3"
"1015",30000,0.8,0.01,0,0.252459079695974,0.249758826603366,"cl3"
"1115",3e+05,0.8,0.01,0,1.45723949813306,0.125721562203905,"cl3"
"1215",30000,0.3,0.001,0,1.63761573262633,0.611801546002537,"cl3"
"1315",3e+05,0.3,0.001,0,0.941359266171721,0.196764004306182,"cl3"
"1415",30000,0.8,0.001,0,1.6674287971741,0.43515776875945,"cl3"
"1515",3e+05,0.8,0.001,0,1.13818437594352,0.532277653114951,"cl3"
"1615",30000,0.3,0.01,1,3.44181496259414,11.902281346329,"cl3"
"1715",3e+05,0.3,0.01,1,1.56705197291104,0.191309954034448,"cl3"
"1815",30000,0.8,0.01,1,0.630951154334605,0.425867013080957,"cl3"
"1915",3e+05,0.8,0.01,1,1.34540888006607,0.14106911807822,"cl3"
"2015",30000,0.3,0.001,1,1.4648519327669,0.448351809840378,"cl3"
"2115",3e+05,0.3,0.001,1,0.781266698628087,0.20528073211085,"cl3"
"2215",30000,0.8,0.001,1,1.3268940458583,0.393573951992376,"cl3"
"2315",3e+05,0.8,0.001,1,1.47766822732425,0.446041830933152,"cl3"
