"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"99",99,30000,0.3,0.01,-1,1,-0.00693278409498318,-0.0700949267331027,-0.970937573029734,"EB"
"100",100,30000,0.3,0.01,-1,100,100,100,100,"EB"
"101",1,3e+05,0.3,0.01,-1,0.632580261593341,-5.82569146185333e-06,-0.000678180648680624,-0.271270114872716,"EB"
"102",2,3e+05,0.3,0.01,-1,0.667836257309942,-6.56148796739502e-06,-0.000778703612493543,-0.309761041496762,"EB"
"103",3,3e+05,0.3,0.01,-1,0.640697674418605,-7.08089015015365e-06,-0.000816582050921479,-0.314631586038281,"EB"
"104",4,3e+05,0.3,0.01,-1,0.618885096700796,-4.64772283142921e-06,-0.000556239267084157,-0.234079708498843,"EB"
"105",5,3e+05,0.3,0.01,-1,0.65352449223417,-6.26259599294818e-06,-0.000745805651572878,-0.29967258341626,"EB"
"106",6,3e+05,0.3,0.01,-1,0.623456790123457,-6.67237066590579e-06,-0.000791364440730334,-0.313769496244162,"EB"
"107",7,3e+05,0.3,0.01,-1,0.639088729016787,-6.58797516837216e-06,-0.000828780319330233,-0.342012895030179,"EB"
"108",8,3e+05,0.3,0.01,-1,0.624401913875598,-7.24168697512045e-06,-0.000872457420356818,-0.34426812429411,"EB"
"109",9,3e+05,0.3,0.01,-1,0.647058823529412,-5.20808045802258e-06,-0.000608181057964728,-0.247657759320203,"EB"
"110",10,3e+05,0.3,0.01,-1,0.647727272727273,-8.50057306218582e-06,-0.000989936752783859,-0.370728713958684,"EB"
"111",11,3e+05,0.3,0.01,-1,0.612903225806452,-5.16154487810664e-06,-0.000630599387156345,-0.265657522264937,"EB"
"112",12,3e+05,0.3,0.01,-1,0.687426556991774,-8.07079837180974e-06,-0.000991558908169108,-0.387198579019894,"EB"
"113",13,3e+05,0.3,0.01,-1,0.644963144963145,-7.99207070147519e-06,-0.000905419394393045,-0.337508109254382,"EB"
"114",14,3e+05,0.3,0.01,-1,0.584615384615385,-5.50548849798976e-06,-0.000611623534855982,-0.238304818857486,"EB"
"115",15,3e+05,0.3,0.01,-1,0.657239819004525,-6.37899441433998e-06,-0.000761589962628258,-0.305604155486097,"EB"
"116",16,3e+05,0.3,0.01,-1,0.659064994298746,-6.60962168671993e-06,-0.00080559608533842,-0.32566025082698,"EB"
"117",17,3e+05,0.3,0.01,-1,0.652431791221827,-6.26759222646569e-06,-0.000793205246449269,-0.331620064254146,"EB"
"118",18,3e+05,0.3,0.01,-1,0.643529411764706,-4.05044053048498e-06,-0.000494896753299129,-0.21507585155366,"EB"
"119",19,3e+05,0.3,0.01,-1,0.640192539109507,-6.95540429703394e-06,-0.00083159555458344,-0.329025507107898,"EB"
"120",20,3e+05,0.3,0.01,-1,0.647127784290739,-8.41095233174972e-06,-0.00096578100509181,-0.359439728993689,"EB"
"121",21,3e+05,0.3,0.01,-1,0.62621359223301,-6.78210531986138e-06,-0.000789373066326063,-0.308257581159014,"EB"
