"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1444",4,30000,0.3,0.01,-1,100,100,100,100,"rep"
"1445",5,30000,0.3,0.01,-1,1,-0.00230355805851521,-0.0322926194853038,-0.85805957574031,"rep"
"1446",6,30000,0.3,0.01,-1,100,100,100,100,"rep"
"1447",7,30000,0.3,0.01,-1,100,100,100,100,"rep"
"1448",8,30000,0.3,0.01,-1,1,-0.00516047252182999,-0.052525696326126,-0.908042559096732,"rep"
"1449",9,30000,0.3,0.01,-1,1,-0.000606734336754649,-0.0201562784317306,-0.960841795147393,"rep"
"1450",10,30000,0.3,0.01,-1,100,100,100,100,"rep"
"1451",1,3e+05,0.3,0.01,-1,0.562137049941928,-4.7620755002725e-06,-0.000659359747687825,-0.306636591989417,"rep"
"1452",2,3e+05,0.3,0.01,-1,0.562573099415205,-3.64709188554837e-06,-0.000520673763628063,-0.257612198913444,"rep"
"1453",3,3e+05,0.3,0.01,-1,0.605418138987044,-6.75903341345849e-06,-0.000932152931366038,-0.403742160454345,"rep"
"1454",4,3e+05,0.3,0.01,-1,0.526376146788991,-6.03839604281306e-06,-0.000831226431052199,-0.368532827861511,"rep"
"1455",5,3e+05,0.3,0.01,-1,0.569160997732426,-5.46257373095945e-06,-0.000768337249530207,-0.352072258761635,"rep"
"1456",6,3e+05,0.3,0.01,-1,0.565268065268065,-5.57524545855424e-06,-0.000777042859491997,-0.352672640094315,"rep"
"1457",7,3e+05,0.3,0.01,-1,0.547995139732685,-4.03069870253875e-06,-0.000586469882382732,-0.289765048142287,"rep"
"1458",8,3e+05,0.3,0.01,-1,0.562642369020501,-5.58204793432169e-06,-0.000746048542194884,-0.329794880683048,"rep"
"1459",9,3e+05,0.3,0.01,-1,0.565525383707202,-4.76722096552116e-06,-0.00064409547536409,-0.294589696348758,"rep"
"1460",10,3e+05,0.3,0.01,-1,0.574793875147232,-4.80756186309313e-06,-0.000659534623536161,-0.304351381158878,"rep"
"1461",1,30000,0.8,0.01,-1,0.863636363636364,-0.000239796660853616,-0.008947038090712,-0.750549666534418,"rep"
