"","X","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"11",2011,30000,0.8,0.01,0,0.783540105708964,-0.000149100119627485,-0.00447451033163273,-0.417418445605168,0.0126110378796363,6.97704034939497e-06,0.000183872691754902,0.013061461418683,"EB_df"
"12",3011,3e+05,0.8,0.01,0,0.551461175630569,-6.29807402437319e-07,-7.55199782082121e-05,-0.0355389097655167,0.00816474098178684,1.5923932142998e-07,1.90519555704127e-05,0.00880454731410934,"EB_df"
"13",4011,30000,0.3,0.001,0,0.707100964635884,-0.00016041502218107,-0.00401071095958806,-0.331303230280981,0.0290754307052949,1.1389771173366e-05,0.000238895326897506,0.0149852100484492,"EB_df"
"14",5011,3e+05,0.3,0.001,0,0.466220796938683,-7.27537392254126e-07,-6.83829300194379e-05,-0.0249789307803813,0.0297891525340807,8.28129867564053e-07,7.7725489975862e-05,0.0285330319826315,"EB_df"
"15",6011,30000,0.8,0.001,0,0.510810655636391,-5.31870534094947e-05,-0.00147398799148183,-0.149694193640414,0.031748151497482,1.70611329656942e-05,0.00047526920431405,0.0455426642843899,"EB_df"
"16",7011,3e+05,0.8,0.001,0,0.480623274795488,-2.17107497308637e-07,-2.09874124878118e-05,-0.00794881934702612,0.0235973346291121,4.44581692162484e-07,4.30748568051458e-05,0.0165026578208186,"EB_df"
"17",12,30000,0.3,0.01,0,0.92713205059876,-0.000398677621593077,-0.00982420226681616,-0.627661691888654,0.0101011278619568,1.52126729100648e-05,0.00027616170770754,0.0119413674831767,"EB_scam"
"18",1012,3e+05,0.3,0.01,0,0.631316644732814,-3.22018986662221e-06,-0.000368764106042565,-0.155468241849482,0.00962041261575255,2.41774889726224e-07,2.65250977511056e-05,0.010131888930894,"EB_scam"
"19",2012,30000,0.8,0.01,0,0.782100279881921,-0.000151200369790942,-0.0045476303844427,-0.42330547153593,0.0124948860595321,7.11005374939124e-06,0.000190712695304062,0.0136776358143889,"EB_scam"
"20",3012,3e+05,0.8,0.01,0,0.570096187936872,-9.86457035133487e-07,-0.000118907469960487,-0.0557087832899067,0.00695530294778807,1.16388133118335e-07,1.38241183513843e-05,0.00624750801144668,"EB_scam"
"21",4012,30000,0.3,0.001,0,0.715178708124748,-0.000160784555327281,-0.00402125913409247,-0.332133004841201,0.0173727235185902,1.06237094463101e-05,0.000218520973579818,0.013780108219042,"EB_scam"
"22",5012,3e+05,0.3,0.001,0,0.563622817433317,-3.82280226119394e-06,-0.000370697945302114,-0.133822433280394,0.0288088077426451,6.24016060604187e-07,5.77545328474171e-05,0.0189866697815826,"EB_scam"
"23",6012,30000,0.8,0.001,0,0.624409397593478,-7.41008130827413e-05,-0.00208627273779322,-0.209467871800475,0.0183622426147289,8.00859335892882e-06,0.000211085772840797,0.0182031427390948,"EB_scam"
"24",7012,3e+05,0.8,0.001,0,0.547821607339503,-2.92901124056216e-06,-0.000290607069749922,-0.108894580637322,0.0293867951693709,3.94528865915823e-07,3.78436093228318e-05,0.0132617023116367,"EB_scam"
"25",13,30000,0.3,0.01,0,0.926485591611537,-0.000401229669308195,-0.00990757665452188,-0.631713454625566,0.0101400391569666,1.45146326634479e-05,0.000253436286597571,0.0113594871966369,"EB_gam_po"
"26",1013,3e+05,0.3,0.01,0,0.626178490183878,-3.01887446423903e-06,-0.000344759314887994,-0.145736951563267,0.00973062812517329,2.50722739779369e-07,2.76186608456273e-05,0.0106563655433412,"EB_gam_po"
"27",2013,30000,0.8,0.01,0,0.784744273928847,-0.000150104531522297,-0.00450951090494066,-0.42024623532013,0.0124064245023366,6.92842486565662e-06,0.000185127028001112,0.0133546460562732,"EB_gam_po"
"28",3013,3e+05,0.8,0.01,0,0.555257321673525,-5.77754308036783e-07,-6.92309379644595e-05,-0.032605526881834,0.00721515264227734,1.53319285158047e-07,1.83587113463069e-05,0.00852043660726235,"EB_gam_po"
"29",4013,30000,0.3,0.001,0,0.717374455129395,-0.000157351811888081,-0.00392627897048709,-0.325091546728768,0.0175218024232644,9.82508350692532e-06,0.000199463398428507,0.0129075090768625,"EB_gam_po"
"30",5013,3e+05,0.3,0.001,0,0.388878932863315,6.80840892873957e-07,6.24960513987612e-05,0.0249992093440098,0.014504624008006,1.72058393377647e-06,0.000158430234582192,0.0619759380704504,"EB_gam_po"
