"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"999",9,3e+05,0.8,0.01,-1,0.493058665472459,1.51453981850348e-05,0.0015220191042045,0.852717216724101,"cl2"
"1000",10,3e+05,0.8,0.01,-1,0.498190045248869,4.94407976580502e-05,0.00409637710007065,3.11099895909548,"cl2"
"1001",1,30000,0.3,0.001,-1,0.608695652173913,0.000167482632518034,0.00544422236652674,1.04503677370155,"cl2"
"1002",2,30000,0.3,0.001,-1,0.493333333333333,0.000163118484478594,0.00533441477942721,1.0238665719504,"cl2"
"1003",3,30000,0.3,0.001,-1,0.435643564356436,0.000365331448307789,0.00971505412915498,1.87871907248678,"cl2"
"1004",4,30000,0.3,0.001,-1,0.458823529411765,0.000168128138707947,0.00565804631389614,1.16204687473748,"cl2"
"1005",5,30000,0.3,0.001,-1,0.458823529411765,0.000365973190817937,0.00997872623148025,2.05398308606613,"cl2"
"1006",6,30000,0.3,0.001,-1,0.5,8.79656458473215e-05,0.00271901438123245,0.400701776971442,"cl2"
"1007",7,30000,0.3,0.001,-1,0.494252873563218,0.00036288938617707,0.00916085211932355,1.56529674103715,"cl2"
"1008",8,30000,0.3,0.001,-1,0.430379746835443,0.000168017050565688,0.00554193991374116,1.09489102242601,"cl2"
"1009",9,30000,0.3,0.001,-1,0.546511627906977,0.000126135379184926,0.00338582238855441,0.439859134498961,"cl2"
"1010",10,30000,0.3,0.001,-1,0.518987341772152,3.09635800835136e-05,0.000932679035352067,0.118966506119487,"cl2"
"1011",1,3e+05,0.3,0.001,-1,0.424379232505643,1.19004390395717e-05,0.00133892177089639,0.835268934133164,"cl2"
"1012",2,3e+05,0.3,0.001,-1,0.526785714285714,6.26867033247966e-06,0.000712086290892641,0.383013378773485,"cl2"
"1013",3,3e+05,0.3,0.001,-1,0.472885032537961,1.10540538486056e-05,0.00116631937716768,0.640077636560018,"cl2"
"1014",4,3e+05,0.3,0.001,-1,0.427956989247312,1.39515340870886e-05,0.00140009871571056,0.760798766045637,"cl2"
"1015",5,3e+05,0.3,0.001,-1,0.47136563876652,1.18179100534243e-05,0.00129045239846406,0.763706432177375,"cl2"
"1016",6,3e+05,0.3,0.001,-1,0.48780487804878,2.07536932825444e-05,0.00185456502785488,0.952424485257674,"cl2"
"1017",7,3e+05,0.3,0.001,-1,0.497797356828194,1.1745448468484e-05,0.00138506750622782,0.933310906622534,"cl2"
"1018",8,3e+05,0.3,0.001,-1,0.467592592592593,1.12704503457828e-05,0.00131487356563422,0.856112176995434,"cl2"
"1019",9,3e+05,0.3,0.001,-1,0.494331065759637,1.2835591204694e-05,0.00128010476208785,0.671072606742303,"cl2"
"1020",10,3e+05,0.3,0.001,-1,0.495515695067265,1.06530467959574e-05,0.00108674214603437,0.560918747011465,"cl2"
"1021",1,30000,0.8,0.001,-1,0.48868778280543,0.000117701807325512,0.00413459881545482,0.795159661884029,"cl2"
