"","sim","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse"
"2047",47,30000,0.3,0.001,1,769,0.893368010403121,0.700910273081925,0.00156832034542803
"2048",48,30000,0.3,0.001,1,762,0.906824146981627,0.695538057742782,0.00157159130031104
"2049",49,30000,0.3,0.001,1,760,0.894736842105263,0.702631578947368,0.00147783929652681
"2050",50,30000,0.3,0.001,1,712,0.912921348314607,0.703651685393258,0.00147652102335421
"2051",51,30000,0.3,0.001,1,717,0.899581589958159,0.684797768479777,0.0015192187170287
"2052",52,30000,0.3,0.001,1,771,0.893644617380026,0.712062256809339,0.00149750292578968
"2053",53,30000,0.3,0.001,1,731,0.906976744186046,0.707250341997264,0.00142438433726573
"2054",54,30000,0.3,0.001,1,782,0.904092071611253,0.690537084398977,0.00167153139776741
"2055",55,30000,0.3,0.001,1,769,0.916775032509753,0.708712613784135,0.00148842264493236
"2056",56,30000,0.3,0.001,1,738,0.899728997289973,0.711382113821138,0.00149058429843359
"2057",57,30000,0.3,0.001,1,726,0.887052341597796,0.698347107438017,0.00151722504908535
"2058",58,30000,0.3,0.001,1,707,0.893917963224894,0.687411598302687,0.00153572422669064
"2059",59,30000,0.3,0.001,1,772,0.896373056994819,0.69300518134715,0.00161766661404852
"2060",60,30000,0.3,0.001,1,764,0.890052356020942,0.684554973821989,0.00153646368615927
"2061",61,30000,0.3,0.001,1,781,0.891165172855314,0.708066581306018,0.00163871832995215
"2062",62,30000,0.3,0.001,1,732,0.889344262295082,0.680327868852459,0.00140670448484399
"2063",63,30000,0.3,0.001,1,690,0.884057971014493,0.67536231884058,0.00141058984973949
"2064",64,30000,0.3,0.001,1,717,0.888423988842399,0.686192468619247,0.00141799939907949
"2065",65,30000,0.3,0.001,1,750,0.894666666666667,0.7,0.00168080636560188
"2066",66,30000,0.3,0.001,1,738,0.899728997289973,0.682926829268293,0.00151170864585552
"2067",67,30000,0.3,0.001,1,708,0.888418079096045,0.700564971751412,0.00142632610807995
"2068",68,30000,0.3,0.001,1,748,0.894385026737968,0.697860962566845,0.001452594667272
"2069",69,30000,0.3,0.001,1,749,0.88785046728972,0.692923898531375,0.0014031174779127
"2070",70,30000,0.3,0.001,1,716,0.906424581005587,0.708100558659218,0.00148021831121084
"2071",71,30000,0.3,0.001,1,798,0.907268170426065,0.724310776942356,0.001595770243085
"2072",72,30000,0.3,0.001,1,755,0.892715231788079,0.687417218543046,0.00150390593557163
"2073",73,30000,0.3,0.001,1,711,0.883263009845288,0.686357243319269,0.00146960957057107
"2074",74,30000,0.3,0.001,1,767,0.908735332464146,0.72490221642764,0.00163316191383811
"2075",75,30000,0.3,0.001,1,790,0.905063291139241,0.69620253164557,0.00159224862641326
"2076",76,30000,0.3,0.001,1,753,0.903054448871182,0.709163346613546,0.00157286849072386
"2077",77,30000,0.3,0.001,1,781,0.914212548015365,0.710627400768246,0.00149266570369746
"2078",78,30000,0.3,0.001,1,699,0.895565092989986,0.676680972818312,0.00141049161772093
"2079",79,30000,0.3,0.001,1,743,0.903095558546433,0.685060565275909,0.00166034744042826
"2080",80,30000,0.3,0.001,1,743,0.89771197846568,0.681022880215343,0.00129357141881783
"2081",81,30000,0.3,0.001,1,758,0.908970976253298,0.713720316622691,0.00150208206327334
"2082",82,30000,0.3,0.001,1,754,0.907161803713528,0.722811671087533,0.00150537659471221
"2083",83,30000,0.3,0.001,1,745,0.891275167785235,0.693959731543624,0.00144415368611959
"2084",84,30000,0.3,0.001,1,744,0.901881720430108,0.685483870967742,0.00151922953994781
"2085",85,30000,0.3,0.001,1,674,0.881305637982196,0.673590504451039,0.00162725324181546
"2086",86,30000,0.3,0.001,1,713,0.894810659186536,0.688639551192146,0.00140545467249344
"2087",87,30000,0.3,0.001,1,730,0.897260273972603,0.697260273972603,0.00147184268291366
"2088",88,30000,0.3,0.001,1,725,0.884137931034483,0.699310344827586,0.0013854817188892
"2089",89,30000,0.3,0.001,1,748,0.89572192513369,0.695187165775401,0.00154062507408414
"2090",90,30000,0.3,0.001,1,746,0.89544235924933,0.683646112600536,0.00152445621773615
"2091",91,30000,0.3,0.001,1,757,0.90885072655218,0.71334214002642,0.00170690561603494
"2092",92,30000,0.3,0.001,1,753,0.887118193891102,0.699867197875166,0.00145331283750188
"2093",93,30000,0.3,0.001,1,759,0.901185770750988,0.695652173913043,0.00149948078144834
"2094",94,30000,0.3,0.001,1,739,0.903924221921516,0.71041948579161,0.00164016904917663
"2095",95,30000,0.3,0.001,1,714,0.892156862745098,0.680672268907563,0.00153286582071053
"2096",96,30000,0.3,0.001,1,775,0.904516129032258,0.700645161290323,0.00156470056474272
"2097",97,30000,0.3,0.001,1,761,0.906701708278581,0.708278580814718,0.00150667665903814
"2098",98,30000,0.3,0.001,1,704,0.916193181818182,0.708806818181818,0.00145769709264595
"2099",99,30000,0.3,0.001,1,751,0.886817576564581,0.70439414114514,0.00159287791663301
"2100",100,30000,0.3,0.001,1,747,0.898259705488621,0.685408299866131,0.00152743949590561
"2101",1,3e+05,0.3,0.001,1,1158,0.784974093264249,0.470639032815199,0.000102386560050637
"2102",2,3e+05,0.3,0.001,1,1116,0.738351254480287,0.452508960573477,0.00010492065600116
"2103",3,3e+05,0.3,0.001,1,1144,0.772727272727273,0.488636363636364,0.000108825754436857
"2104",4,3e+05,0.3,0.001,1,1191,0.748110831234257,0.474391267842149,0.000103761877431369
"2105",5,3e+05,0.3,0.001,1,1092,0.733516483516483,0.454212454212454,9.76629952011447e-05
"2106",6,3e+05,0.3,0.001,1,1106,0.73869801084991,0.481916817359855,0.000105545009365701
"2107",7,3e+05,0.3,0.001,1,1154,0.766031195840555,0.484402079722704,0.000101883967219951
"2108",8,3e+05,0.3,0.001,1,1131,0.752431476569408,0.470380194518126,0.000111573560310307
"2109",9,3e+05,0.3,0.001,1,1088,0.738970588235294,0.448529411764706,9.63499671751945e-05
"2110",10,3e+05,0.3,0.001,1,1146,0.755671902268761,0.466841186736475,9.4925724781865e-05
"2111",11,3e+05,0.3,0.001,1,1119,0.766756032171582,0.458445040214477,9.77826314812842e-05
"2112",12,3e+05,0.3,0.001,1,1112,0.741906474820144,0.454136690647482,9.61483855046623e-05
"2113",13,3e+05,0.3,0.001,1,1136,0.758802816901408,0.466549295774648,0.000101554933132032
"2114",14,3e+05,0.3,0.001,1,1120,0.725892857142857,0.45625,9.82351909641913e-05
"2115",15,3e+05,0.3,0.001,1,1128,0.74290780141844,0.453014184397163,0.000100770465534489
"2116",16,3e+05,0.3,0.001,1,1075,0.756279069767442,0.446511627906977,0.000101278186584892
"2117",17,3e+05,0.3,0.001,1,1081,0.741905642923219,0.438482886216466,9.70756852759934e-05
"2118",18,3e+05,0.3,0.001,1,1190,0.756302521008403,0.470588235294118,0.000110606244093689
"2119",19,3e+05,0.3,0.001,1,1119,0.752457551385165,0.475424486148347,0.000100764491027644
"2120",20,3e+05,0.3,0.001,1,1140,0.762280701754386,0.475438596491228,9.7368748626868e-05
"2121",21,3e+05,0.3,0.001,1,1066,0.74859287054409,0.461538461538462,9.61106751728765e-05
"2122",22,3e+05,0.3,0.001,1,1101,0.766575840145322,0.45685740236149,9.69133076230607e-05
"2123",23,3e+05,0.3,0.001,1,1132,0.752650176678445,0.471731448763251,9.70096955411414e-05
"2124",24,3e+05,0.3,0.001,1,1193,0.741827326068734,0.475272422464376,9.97229694045928e-05
"2125",25,3e+05,0.3,0.001,1,1133,0.758164165931156,0.471315092674316,0.00010662596789388
"2126",26,3e+05,0.3,0.001,1,1105,0.747511312217195,0.454298642533937,0.000109837333706221
"2127",27,3e+05,0.3,0.001,1,1144,0.755244755244755,0.458041958041958,0.000100595379388573
"2128",28,3e+05,0.3,0.001,1,1185,0.760337552742616,0.488607594936709,0.000113398146311075
"2129",29,3e+05,0.3,0.001,1,1098,0.748633879781421,0.450819672131148,8.99521691208324e-05
"2130",30,3e+05,0.3,0.001,1,1101,0.762942779291553,0.470481380563124,0.000104747903114068
"2131",31,3e+05,0.3,0.001,1,1069,0.759588400374182,0.449017773620206,0.000103056820398437
"2132",32,3e+05,0.3,0.001,1,1098,0.736794171220401,0.451730418943534,0.000103260669291546
"2133",33,3e+05,0.3,0.001,1,1097,0.738377392889699,0.44302643573382,9.56109998880187e-05
"2134",34,3e+05,0.3,0.001,1,1134,0.744268077601411,0.475308641975309,0.000115613430019143
"2135",35,3e+05,0.3,0.001,1,1104,0.752717391304348,0.45018115942029,0.000101672045486508
"2136",36,3e+05,0.3,0.001,1,1117,0.73769024171889,0.445837063563115,0.000103372192199374
"2137",37,3e+05,0.3,0.001,1,1056,0.744318181818182,0.446969696969697,9.3754639062278e-05
"2138",38,3e+05,0.3,0.001,1,1154,0.777296360485269,0.487001733102253,0.00011952480730013
"2139",39,3e+05,0.3,0.001,1,1145,0.755458515283843,0.472489082969432,0.000105682970179183
"2140",40,3e+05,0.3,0.001,1,1153,0.740676496097138,0.490893321769298,0.000107932476274132
"2141",41,3e+05,0.3,0.001,1,1130,0.743362831858407,0.473451327433628,0.000119516718200021
"2142",42,3e+05,0.3,0.001,1,1120,0.765178571428571,0.453571428571429,9.56050753118725e-05
"2143",43,3e+05,0.3,0.001,1,1139,0.748024582967515,0.474100087796313,0.000102788546136886
"2144",44,3e+05,0.3,0.001,1,1143,0.748906386701662,0.478565179352581,0.000102640856631492
"2145",45,3e+05,0.3,0.001,1,1121,0.749330954504906,0.442462087421945,0.000114458065983669
"2146",46,3e+05,0.3,0.001,1,1132,0.738515901060071,0.460247349823322,9.73791513043101e-05
"2147",47,3e+05,0.3,0.001,1,1130,0.758407079646018,0.468141592920354,0.000107033998292523
"2148",48,3e+05,0.3,0.001,1,1117,0.736794986571173,0.451208594449418,9.60964910730785e-05
"2149",49,3e+05,0.3,0.001,1,1140,0.750877192982456,0.479824561403509,0.000106985300672176
"2150",50,3e+05,0.3,0.001,1,1089,0.736455463728191,0.471074380165289,0.000100081423665131
"2151",51,3e+05,0.3,0.001,1,1099,0.72975432211101,0.421292083712466,9.43412732396679e-05
