"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1311",3e+05,0.3,0.001,0,0.50303893928399,-7.06075258946341e-05,-7.06075258946341e-05,-0.711734999788394,0.0106479659593458,4.87820999551487e-06,4.87820999551487e-06,0.0242569938276579,"FIQT"
"1411",30000,0.8,0.001,0,0.607634797211073,-0.000905277878371611,-0.000905277878371611,-0.759184269381429,0.0114933320508545,7.48189022108973e-05,7.48189022108973e-05,0.0124524269357405,"FIQT"
"1511",3e+05,0.8,0.001,0,0.461821916917572,-6.81930241983113e-05,-6.81930241983113e-05,-0.706238864621767,0.0117795475710563,5.90831679633064e-06,5.90831679633064e-06,0.0167504050324797,"FIQT"
"1611",30000,0.3,0.01,1,0.972175814300088,-0.00188578363341316,-0.00188578363341316,-0.980272343505788,0.00860910360261831,0.000130317605808643,0.000130317605808643,0.0030073777975016,"FIQT"
"1711",3e+05,0.3,0.01,1,0.427879323346778,-1.58478368532373e-05,-1.58478368532373e-05,-0.387189378363624,0.00611550797968606,2.10559831942061e-06,2.10559831942061e-06,0.0259474672358064,"FIQT"
"1811",30000,0.8,0.01,1,0.716526374631793,-0.000954799135132108,-0.000954799135132108,-0.843170593757677,0.0101149138786779,7.67162962519934e-05,7.67162962519934e-05,0.00636218484492098,"FIQT"
"1911",3e+05,0.8,0.01,1,0.323680742305308,-6.54505625126684e-06,-6.54505625126684e-06,-0.203942408715412,0.00613249916136591,1.01901671830542e-06,1.01901671830542e-06,0.024710519645985,"FIQT"
"2011",30000,0.3,0.001,1,0.716308994237997,-0.00118590132906585,-0.00118590132906585,-0.836324097027979,0.0107894815627871,5.22236073186554e-05,5.22236073186554e-05,0.00619368411798298,"FIQT"
"2111",3e+05,0.3,0.001,1,0.514999394553833,-7.55023175251756e-05,-7.55023175251756e-05,-0.724212213855033,0.00798383059727637,5.29293646892184e-06,5.29293646892184e-06,0.0281757940935569,"FIQT"
"2211",30000,0.8,0.001,1,0.594423170267679,-0.000874686345486503,-0.000874686345486503,-0.752953534955788,0.00898839049223889,5.92843239532045e-05,5.92843239532045e-05,0.0167660995152,"FIQT"
