"","X","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"20",191,3e+05,0.8,0.01,1,0.540123377704171,-6.43497623767107e-06,-0.000327455556783184,-0.064461521201484,0.0146989987592265,8.71514950561489e-07,4.40857799525441e-05,0.00844327980820118,"EB"
"21",201,30000,0.3,0.001,1,0.725378151260504,-0.000778642361829635,-0.00968432187717162,-0.364557271686328,0.148541351154295,0.000554987398636224,0.00647801061898525,0.23865540628272,"EB"
"22",211,3e+05,0.3,0.001,1,0.430918411251482,-1.5480317481543e-06,-7.76060331118316e-05,-0.0151013857943827,0.0371852081778149,2.76927246792384e-06,0.000140776659527336,0.0282458726752377,"EB"
"23",221,30000,0.8,0.001,1,0.386707040382349,-2.15460644704073e-05,-0.000321605327139755,-0.0183932884173811,0.0605479694970112,3.75625519921014e-05,0.000590723906117007,0.037490994136305,"EB"
"24",231,3e+05,0.8,0.001,1,0.309636539036163,8.50480709175525e-06,0.000385736744600538,0.0735671851340638,0.0238382372752212,5.69696031967843e-06,0.000251670490256869,0.0481572770879481,"EB"
"25",12,30000,0.3,0.01,-1,1,-0.0354278030618042,-0.111604249493891,-0.777067494154182,0,0.0136514546874943,0.0239078172070287,0.0153053793100724,"FIQT"
"26",112,3e+05,0.3,0.01,-1,0.699509580743545,-0.000299314130583383,-0.00838300769268133,-0.591315780331134,0.0800832567770913,0.000122788981796725,0.00325426696728394,0.19798289947279,"FIQT"
"27",212,30000,0.8,0.01,-1,0.681748831696845,-0.00301146077332883,-0.0248243107544005,-0.495215420992538,0.0687713354243912,0.00216924073877404,0.0173825378450805,0.323276435510681,"FIQT"
"28",311,3e+05,0.8,0.01,-1,0.252595791013523,4.98339592881752e-05,0.00172551972570746,0.271116719972866,0.00516213519346611,6.39026096646322e-06,0.000233848303618879,0.0446845633323773,"FIQT"
"29",411,30000,0.3,0.001,-1,0.568611111111111,1.30586692435516e-05,-0.00035977461687435,0.192454935964937,0.146806859261623,0.00397573247369911,0.0243211281859101,0.86493500575128,"FIQT"
"30",511,3e+05,0.3,0.001,-1,0.20060449603677,0.000136711251517803,0.00434179115753544,0.764904447827914,0.0427793239772295,3.86399862728149e-05,0.00119847622679518,0.268490218965941,"FIQT"
"31",611,30000,0.8,0.001,-1,0.194556076936662,0.00153568675982222,0.0158934678281933,0.97995890958824,0.0136346964484841,0.000508921071258774,0.00484839622890118,0.386019322790802,"FIQT"
"32",711,3e+05,0.8,0.001,-1,0.0894113602313564,3.86370278296465e-05,0.00134380481678964,0.207219976331669,0.00681730689907782,9.28147795993046e-06,0.000317992793454476,0.0544205367588981,"FIQT"
"33",811,30000,0.3,0.01,0,1,-0.156509646167581,-0.26738194045164,-0.860964171133547,NA,NA,NA,NA,"FIQT"
"34",911,3e+05,0.3,0.01,0,0.636439526118303,-0.00013085290696856,-0.00505256546755274,-0.536860960810953,0.0572592323572287,4.57516791955604e-05,0.00158270853034598,0.115660638166294,"FIQT"
"35",1011,30000,0.8,0.01,0,0.6519649490153,-0.00146600149217478,-0.0177559535000663,-0.576200159946113,0.0514078053835321,0.000375324325713157,0.00424304221286845,0.0864246464852322,"FIQT"
"36",1111,3e+05,0.8,0.01,0,0.244057857469267,2.19461314907343e-05,0.000965832751866698,0.185966956059747,0.00708499598294824,3.91222111602906e-06,0.000168340626453498,0.034449516171827,"FIQT"
"37",1211,30000,0.3,0.001,0,0.533977688977689,6.73098479266981e-05,0.000589687590373735,0.128073399031533,0.142649588287344,0.000875271856589204,0.0100070926126203,0.565780126907267,"FIQT"
"38",1311,3e+05,0.3,0.001,0,0.201287231929189,7.29263198210954e-05,0.00301269119257345,0.661255939256945,0.0251388142235519,1.75421285222814e-05,0.000694349158597141,0.186580110629623,"FIQT"
"39",1411,30000,0.8,0.001,0,0.204271991474113,0.000682455320753316,0.00863534122103706,0.561000397598192,0.00845955773439542,0.000172602853011326,0.00215302778683157,0.18463271884758,"FIQT"
"40",1511,3e+05,0.8,0.001,0,0.105336896188724,4.10891848124632e-05,0.00156460710196405,0.27319644944124,0.00646332424867201,1.43208285116626e-05,0.000515182475447792,0.0955004525027575,"FIQT"
