"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"11",30000,0.3,0.01,-1,0.999651118906665,-0.0237718314370199,-0.144886426756837,-0.995981232571616,0.000753125290510095,0.00129406389124472,0.00462659507626367,0.00178835495077235,"FIQT"
"511",3e+05,0.3,0.01,-1,0.656708208956449,-0.000753913897190839,-0.0142137785474179,-0.666452154218007,0.0119024367565691,5.53610740711162e-05,0.000824799740455295,0.0195602061127098,"FIQT"
"1011",30000,0.8,0.01,-1,0.674488162582375,-0.00824111497998165,-0.048755004811417,-0.694585613014754,0.0148728943075477,0.000606165369930188,0.00296616205474228,0.0204047692939093,"FIQT"
"1511",3e+05,0.8,0.01,-1,0.432010349002998,-1.34327509172786e-05,-0.000345848993048907,-0.034616640377595,0.00574978055169975,1.07044997445123e-05,0.000275732867169413,0.0276852215354025,"FIQT"
"2011",30000,0.3,0.001,-1,0.90010987444799,-0.0196540820999274,-0.106140295808318,-0.925970387609193,0.00926604942029668,0.00101913085355774,0.00414304999305092,0.0116414959889082,"FIQT"
"2511",3e+05,0.3,0.001,-1,0.63777701233305,-0.000882014812779507,-0.0157652330067473,-0.684973937447034,0.0146629968307923,8.77311510892863e-05,0.00137152187641628,0.0320772705148947,"FIQT"
"3011",30000,0.8,0.001,-1,0.640378356041702,-0.00855267791645523,-0.0476673958953474,-0.661985638395602,0.00993558965161668,0.000737256477637202,0.00409742230179604,0.0371130351423772,"FIQT"
"3511",3e+05,0.8,0.001,-1,0.600321300424727,-0.00069584421452597,-0.0139285418304316,-0.681657523529685,0.0110657483419341,5.28016388752277e-05,0.000835576097450754,0.0199339479968139,"FIQT"
"4011",30000,0.3,0.01,0,0.997885990053315,-0.0232579892517477,-0.143891370305786,-0.996583995232156,0.00164603527107636,0.00138195418591059,0.00458600944039964,0.00113144551678842,"FIQT"
"4511",3e+05,0.3,0.01,0,0.639898064622186,-0.000776141965146035,-0.016071163686038,-0.749348719243361,0.0124422278998641,4.90005469501137e-05,0.000710287454486962,0.0107217905787342,"FIQT"
"5011",30000,0.8,0.01,0,0.657434377085816,-0.00854728899278606,-0.0548877698485027,-0.770756767397316,0.012086908464442,0.000538085991049461,0.00240448800199577,0.0101002640240618,"FIQT"
"5511",3e+05,0.8,0.01,0,0.440127355409628,-7.95535909292574e-05,-0.00226484751577396,-0.227300513422202,0.00638483780246878,1.12210176715145e-05,0.000295360929740193,0.0242865106701675,"FIQT"
"6011",30000,0.3,0.001,0,0.897486147334806,-0.0202354491925023,-0.113471746902021,-0.950587884813662,0.00934526226200979,0.00119002300801595,0.00395286893695699,0.0050428483728511,"FIQT"
