"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"14014",30000,0.8,0.001,0,0.413355268994175,-3.72438325553007e-07,-3.72438325553007e-07,0.000224635461893279,0.0529810121709862,8.51963407100614e-06,8.51963407100614e-06,0.0812917924306459,"EB_gam_nb"
"15014",3e+05,0.8,0.001,0,0.381610495212556,2.55102785128173e-06,2.55102785128173e-06,0.200537961514497,0.0250539672864629,9.22903132878942e-07,9.22903132878942e-07,0.0763951575301625,"EB_gam_nb"
"16014",30000,0.3,0.01,1,0.914962121212121,-0.000354621590540596,-0.000354621590540596,-0.747070040237234,0.162024227819661,0.000238468934113074,0.000238468934113074,0.290952136207792,"EB_gam_nb"
"17014",3e+05,0.3,0.01,1,0.617373512355067,-1.91920765980422e-06,-1.91920765980422e-06,-0.19795675208274,0.0157973025173408,2.64488178894249e-07,2.64488178894249e-07,0.0240671700481887,"EB_gam_nb"
"18014",30000,0.8,0.01,1,0.800537958901553,-9.66987564325895e-05,-9.66987564325895e-05,-0.513106367381973,0.0666443088320352,1.94110491316855e-05,1.94110491316855e-05,0.0868045300774207,"EB_gam_nb"
"19014",3e+05,0.8,0.01,1,0.469221206137712,7.78796368198128e-07,7.78796368198128e-07,0.0875668292563296,0.0124581969517798,3.09445761656373e-07,3.09445761656373e-07,0.0349667837779533,"EB_gam_nb"
"20014",30000,0.3,0.001,1,0.401394897320909,3.52826946214804e-06,3.52826946214804e-06,0.0468042057538616,0.104293317182119,1.99758017188899e-05,1.99758017188899e-05,0.19526679789874,"EB_gam_nb"
"21014",3e+05,0.3,0.001,1,0.356611715941384,3.45453185036251e-06,3.45453185036251e-06,0.371038423289669,0.0312839762249444,8.13269124101071e-07,8.13269124101071e-07,0.0998335044733049,"EB_gam_nb"
"22014",30000,0.8,0.001,1,0.378466570122819,6.43748694287608e-06,6.43748694287608e-06,0.0769577362732643,0.0416618018290418,9.36332395375578e-06,9.36332395375578e-06,0.109124536744302,"EB_gam_nb"
"23014",3e+05,0.8,0.001,1,0.388628580143044,1.57271365393871e-06,1.57271365393871e-06,0.155377857018811,0.0265189989150335,6.39116171684113e-07,6.39116171684113e-07,0.0671670345299887,"EB_gam_nb"
"15",30000,0.3,0.01,-1,0.935897435897436,-0.00171919688386458,-0.00171919688386458,-0.8476807947456,0.238353662814681,0.00306944352395157,0.00306944352395157,0.338863475185661,"FIQT"
"1015",3e+05,0.3,0.01,-1,0.440776123203426,1.00896809768032e-06,1.00896809768032e-06,0.0518585315689866,0.0182053787766794,1.94362379957975e-06,1.94362379957975e-06,0.0941907811193352,"FIQT"
"2015",30000,0.8,0.01,-1,0.78274468911706,-0.000459404541648167,-0.000459404541648167,-0.723661707725724,0.075178767873608,0.000201277662160389,0.000201277662160389,0.167447496738743,"FIQT"
"3015",3e+05,0.8,0.01,-1,0.280277118164413,4.80759812181457e-06,4.80759812181457e-06,0.286240203453689,0.00810508320720855,8.10327582743915e-07,8.10327582743915e-07,0.0540688039568935,"FIQT"
"4015",30000,0.3,0.001,-1,0.356290319994412,0.000119694536503759,0.000119694536503759,0.604623688502973,0.0445289803583004,9.90219305121317e-05,9.90219305121317e-05,0.533319651847352,"FIQT"
"5015",3e+05,0.3,0.001,-1,0.137410458470034,6.42224060705575e-06,6.42224060705575e-06,0.40842433159712,0.0150896938295799,1.72560650970647e-06,1.72560650970647e-06,0.116857103341512,"FIQT"
"6015",30000,0.8,0.001,-1,0.218819223947699,0.000128452662568294,0.000128452662568294,0.785472683905378,0.024659773220489,3.48433734083758e-05,3.48433734083758e-05,0.252768847920758,"FIQT"
"7015",3e+05,0.8,0.001,-1,0.102981906943789,3.33340367643893e-06,3.33340367643893e-06,0.214568381635298,0.0116224546990346,9.75738619608913e-07,9.75738619608913e-07,0.0675622652005,"FIQT"
"8015",30000,0.3,0.01,0,0.925595238095238,-0.000611308165837524,-0.000611308165837524,-0.778978850049901,0.235353367700346,0.000474231780619133,0.000474231780619133,0.382348458654419,"FIQT"
"9015",3e+05,0.3,0.01,0,0.403796430219294,6.28740665355667e-07,6.28740665355667e-07,0.0569057479004228,0.0153553200118053,6.85611074956023e-07,6.85611074956023e-07,0.0608781681297414,"FIQT"
"10015",30000,0.8,0.01,0,0.680482446487044,-0.000146786873952784,-0.000146786873952784,-0.605874309458735,0.065041388864004,3.97210219127496e-05,3.97210219127496e-05,0.112063687989666,"FIQT"
