"","X","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"37",1211,30000,0.3,0.001,0,0.223367149594265,9.64331539397779e-05,0.0039295864673319,0.961508162715388,0.0498982645269555,2.38410595440233e-05,0.00109812186695147,0.461075520630242,"FIQT"
"38",1311,3e+05,0.3,0.001,0,0.154374006935351,4.93362592860142e-06,0.000667131191251096,0.43858055281562,0.0175669892932562,8.32255760062962e-07,0.000105346607036737,0.0820773394446744,"FIQT"
"39",1411,30000,0.8,0.001,0,0.18746197101271,6.30006512910385e-05,0.00260181925315037,0.568622907628378,0.0281712966030126,2.60613938901686e-05,0.00111038151402702,0.307586593144759,"FIQT"
"40",1511,3e+05,0.8,0.001,0,0.122121008775171,4.31176205044325e-06,0.000554426650141903,0.338627952743889,0.0136577880587644,1.77442954285762e-06,0.000218063354339431,0.141665628103919,"FIQT"
"41",1611,30000,0.3,0.01,1,0.542834249084249,-4.30684347071588e-05,-0.00149218928085618,-0.108461183082822,0.109845857812265,8.8144282964475e-05,0.0031468051112554,0.432559527886934,"FIQT"
"42",1711,3e+05,0.3,0.01,1,0.2978615610444,2.49508706848482e-06,0.000379821084252728,0.262573720075366,0.0186132557655446,6.38700587839271e-07,9.58116094031064e-05,0.0724385606896982,"FIQT"
"43",1811,30000,0.8,0.01,1,0.40255591046505,1.73380663736877e-05,0.000773860731435037,0.165073745818522,0.0434047656463007,2.20964715789982e-05,0.00100122223632682,0.196721246255586,"FIQT"
"44",1911,3e+05,0.8,0.01,1,0.248962528686016,2.02006726145473e-06,0.000314405169979661,0.216981300236017,0.00923711189643259,3.13635776874022e-07,4.80066108502288e-05,0.0361721869638246,"FIQT"
"45",2011,30000,0.3,0.001,1,0.256115224145273,5.87116641287682e-05,0.00261062154566922,0.624100963717185,0.0626942112891426,2.39098129001496e-05,0.00103607875813547,0.310048042048897,"FIQT"
"46",2111,3e+05,0.3,0.001,1,0.14169838434586,3.91716392359289e-06,0.000584040256748922,0.419498864970397,0.0225680710997,4.59977257795266e-07,6.41006790419454e-05,0.0562825889616403,"FIQT"
"47",2211,30000,0.8,0.001,1,0.171158968393263,6.10645500514386e-05,0.00278355117307269,0.676735550820346,0.0350907890551954,1.4215865973912e-05,0.000584717629228015,0.168930863536786,"FIQT"
"48",2311,3e+05,0.8,0.001,1,0.12291943023286,2.46925187750814e-06,0.000362008930086781,0.238693831092054,0.0161462308009888,5.58036785679514e-07,8.60519018196519e-05,0.0687872484298199,"FIQT"
"49",13,30000,0.3,0.01,-1,0.576080308580309,-0.000208324714232724,-0.00404654124986109,0.0868728756614082,0.147445999175009,0.000442125017137679,0.00964436674816423,1.22309985008949,"BR"
"50",113,3e+05,0.3,0.01,-1,0.525276381686578,1.5566766908155e-07,2.00561364373936e-05,0.0149950995168003,0.01983510191727,1.84049721521928e-06,0.000214183017046931,0.104530157431794,"BR"
