"","n_samples","h2","prop_effect","S","results","res_error","method"
"815",30000,0.3,0.01,0,0.2,0.421637021355784,"cl3"
"915",3e+05,0.3,0.01,0,0.504309800764673,0.0164616021627709,"cl3"
"1015",30000,0.8,0.01,0,0.685629633580233,0.124130665418798,"cl3"
"1115",3e+05,0.8,0.01,0,0.493149539432848,0.00851171718215459,"cl3"
"1215",30000,0.3,0.001,0,0.500570609214117,0.058641416332743,"cl3"
"1315",3e+05,0.3,0.001,0,0.492327972986703,0.0267307649543303,"cl3"
"1415",30000,0.8,0.001,0,0.508648080950636,0.0268982597401479,"cl3"
"1515",3e+05,0.8,0.001,0,0.491476959493615,0.0171739666149806,"cl3"
"1615",30000,0.3,0.01,1,0.2,0.421637021355784,"cl3"
"1715",3e+05,0.3,0.01,1,0.510537226027549,0.017258701937685,"cl3"
"1815",30000,0.8,0.01,1,0.77425997852722,0.0846129973006629,"cl3"
"1915",3e+05,0.8,0.01,1,0.490950329479833,0.010238800807363,"cl3"
"2015",30000,0.3,0.001,1,0.501410740607754,0.047506307938243,"cl3"
"2115",3e+05,0.3,0.001,1,0.502682992270036,0.0207200521698771,"cl3"
"2215",30000,0.8,0.001,1,0.493003879244104,0.0228922052697775,"cl3"
"2315",3e+05,0.8,0.001,1,0.498734999513114,0.020279458706314,"cl3"
