"","n_samples","h2","prop_effect","S","results","res_error","method"
"1514",3e+05,0.8,0.001,0,0.463326465083497,0.0132817769378615,"cl2"
"1614",30000,0.3,0.01,1,0.9,0.174801474695025,"cl2"
"1714",3e+05,0.3,0.01,1,0.490832308040112,0.0159827661175692,"cl2"
"1814",30000,0.8,0.01,1,0.612641948815654,0.0835074472279635,"cl2"
"1914",3e+05,0.8,0.01,1,0.477383639481133,0.00963682459423357,"cl2"
"2014",30000,0.3,0.001,1,0.479833955931501,0.0732530703918548,"cl2"
"2114",3e+05,0.3,0.001,1,0.491106107402665,0.0150194556607217,"cl2"
"2214",30000,0.8,0.001,1,0.47678305905094,0.0246355741929843,"cl2"
"2314",3e+05,0.8,0.001,1,0.460348044067286,0.0183463981072926,"cl2"
"16",30000,0.3,0.01,-1,0.9375,0.125,"cl3"
"116",3e+05,0.3,0.01,-1,0.503776203204618,0.0179669611049894,"cl3"
"216",30000,0.8,0.01,-1,0.646610195176757,0.0535933499041709,"cl3"
"315",3e+05,0.8,0.01,-1,0.497244862732681,0.00848595281457152,"cl3"
"415",30000,0.3,0.001,-1,0.494996738739601,0.0502141917846275,"cl3"
"515",3e+05,0.3,0.001,-1,0.501370009635086,0.0156100705391907,"cl3"
"615",30000,0.8,0.001,-1,0.480155016237831,0.0174389305263014,"cl3"
"715",3e+05,0.8,0.001,-1,0.489548136463054,0.0142443242822494,"cl3"
"815",30000,0.3,0.01,0,1,0,"cl3"
"915",3e+05,0.3,0.01,0,0.516709961190356,0.0189183153953153,"cl3"
"1015",30000,0.8,0.01,0,0.638281030881145,0.0327051818387505,"cl3"
"1115",3e+05,0.8,0.01,0,0.496240142773196,0.00819714313749706,"cl3"
"1215",30000,0.3,0.001,0,0.529936906558835,0.0642731672164952,"cl3"
"1315",3e+05,0.3,0.001,0,0.487117367783964,0.0225999364720533,"cl3"
"1415",30000,0.8,0.001,0,0.499677473746024,0.0239532631962237,"cl3"
"1515",3e+05,0.8,0.001,0,0.479545592780781,0.0176051884446224,"cl3"
"1615",30000,0.3,0.01,1,0.852040816326531,0.20037016279376,"cl3"
"1715",3e+05,0.3,0.01,1,0.500631747378941,0.015277565743245,"cl3"
"1815",30000,0.8,0.01,1,0.587462855903841,0.033529301638174,"cl3"
"1915",3e+05,0.8,0.01,1,0.497033134556895,0.0123702099916975,"cl3"
"2015",30000,0.3,0.001,1,0.514445501193349,0.0557647392785896,"cl3"
"2115",3e+05,0.3,0.001,1,0.499352445552725,0.0159611570405933,"cl3"
"2215",30000,0.8,0.001,1,0.503209828252987,0.0349041707085025,"cl3"
"2315",3e+05,0.8,0.001,1,0.491146603956284,0.0158253610335794,"cl3"
